id,word,defTh,defEn,type,ipa_us,ipa_uk,cefr,example,audioTh,audioEn,audio_example,image
33,accomplishment,การบรรลุผล,an impressive thing that is done or achieved after a lot of work,noun,/əˈkɑːmplɪʃmənt/,/əˈkʌmplɪʃmənt/,C1,It was one of the President's greatest accomplishments.,,,,
34,accordance,ตาม,according to a rule or the way that somebody says that something should be done,noun,/əˈkɔːrdns/,/əˈkɔːdns/,C1,in accordance with legal requirements,,,,
35,according to,"ตามที่, อ้างอิง",as stated or reported by somebody/something,preposition,/əˈkɔːrdɪŋ tə/,/əˈkɔːdɪŋ tə/,A2,"According to Mick, it's a great movie.",,,,
36,accordingly,ตามนั้น,in a way that is appropriate to what has been done or said in a particular situation,adverb,/əˈkɔːrdɪŋli/,/əˈkɔːdɪŋli/,C1,We have to discover his plans and act accordingly.,,,,36_c1_accordingly.jpg
37,account,"บัญชี, เรื่องราว","an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc.",noun,/əˈkaʊnt/,/əˈkaʊnt/,B1,I don't have a bank account.,,,,37_b1_account.jpg
38,accountability,ความรับผิดชอบตรวจสอบได้,the fact of being responsible for your decisions or actions and expected to explain them when you are asked,noun,/əˌkaʊntəˈbɪləti/,/əˌkaʊntəˈbɪləti/,C1,proposals for greater police accountability,,,,
39,accountable,ที่ต้องรับผิดชอบต่อการกระทำ,responsible for your decisions or actions and expected to explain them when you are asked,adjective,/əˈkaʊntəbl/,/əˈkaʊntəbl/,C1,The state spends taxpayers’ money and should be held accountable.,,,,39_c1_accountable.jpg
40,accountant,นักบัญชี,a person whose job is to keep or check financial accounts,noun,/əˈkaʊntənt/,/əˈkaʊntənt/,B2,We talked to the company’s chief accountant.,,,,40_b2_accountant.jpg
41,accumulate,สะสม,to gradually get more and more of something over a period of time,verb,/əˈkjuːmjəleɪt/,/əˈkjuːmjəleɪt/,C1,I seem to have accumulated a lot of books.,,,,41_c1_accumulate.jpg
42,accumulation,การสะสม,the process of gradually increasing or getting more and more of something over a period of time,noun,/əˌkjuːmjəˈleɪʃn/,/əˌkjuːmjəˈleɪʃn/,C1,the accumulation of wealth,,,,
43,accuracy,ความถูกต้องแม่นยำ,the state of being exact or correct; the ability to do something with skill and without making mistakes,noun,/ˈækjərəsi/,/ˈækjərəsi/,B2,They questioned the accuracy of the information in the file.,,,,
44,accurate,"ถูกต้อง, แม่นยำ",correct and true in every detail,adjective,/ˈækjərət/,/ˈækjərət/,B2,an accurate description/picture of something,,,,44_b2_accurate.jpg
45,accurately,อย่างเที่ยงตรง,in a way that is correct and true in every detail,adverb,/ˈækjərətli/,/ˈækjərətli/,B2,The article accurately reflects public opinion.,,,,
46,accusation,"การกล่าวหา, ข้อหา",a statement saying that you think a person is guilty of doing something wrong or illegal; the fact of accusing somebody,noun,/ˌækjuˈzeɪʃn/,/ˌækjuˈzeɪʃn/,C1,I don't want to make an accusation until I have some proof.,,,,
47,accuse,"กล่าวหา, ฟ้อง",to say that somebody has done something wrong or is guilty of something,verb,/əˈkjuːz/,/əˈkjuːz/,B2,"accuse somebody of something, to accuse somebody of murder/a crime",,,,47_b2_accuse.jpg
48,accused,ผู้ถูกกล่าวหา,a person who is on trial for committing a crime,noun,/ði əˈkjuːzd/,/ði əˈkjuːzd/,C1,The accused was found innocent.,,,,
49,achieve,"สำเร็จ, บรรลุ","to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time",verb,/əˈtʃiːv/,/əˈtʃiːv/,A2,He had finally achieved success.,,,,49_a2_achieve.jpg
50,achievement,ผลสัมฤทธิ์,"a thing that somebody has done successfully, especially using their own effort and skill",noun,/əˈtʃiːvmənt/,/əˈtʃiːvmənt/,B1,the greatest scientific achievement of the decade,,,,
51,acid,"กรด, เปรี้ยว",that contains acid or has the essential characteristics of an acid; that has a pH of less than seven,adjective,/ˈæsɪd/,/ˈæsɪd/,C1,"Rye is tolerant of poor, acid soils.",,,,51_c1_acid.jpg
52,acknowledge,"รับทราบ, ยอมรับ",to accept that something is true,verb,/əkˈnɑːlɪdʒ/,/əkˈnɒlɪdʒ/,B2,"acknowledge something, She refuses to acknowledge the need for reform.",,,,52_b2_acknowledge.jpg
53,acquire,"ได้รับ, ครอบครอง","to gain something by your own efforts, ability or behaviour",verb,/əˈkwaɪər/,/əˈkwaɪə(r)/,B2,She has acquired a good knowledge of English.,,,,53_b2_acquire.jpg
54,acquisition,การได้มา,"the act of getting something, especially knowledge, a skill, etc.",noun,/ˌækwɪˈzɪʃn/,/ˌækwɪˈzɪʃn/,C1,theories of child language acquisition,,,,54_c1_acquisition.jpg
55,acre,เอเคอร์,a unit for measuring an area of land; 4840 square yards or about 4050 square metres,noun,/ˈeɪkər/,/ˈeɪkə(r)/,C1,3000 acres of parkland,,,,55_c1_acre.jpg
56,across,"ข้าม, ทั่ว",from one side to the other side,adverb,/əˈkrɔːs/,/əˈkrɒs/,A1,It's too wide. We can't swim across.,,,,56_a1_across.jpg
57,act,"กระทำ, การกระทำ",a particular thing that somebody does,noun,/ækt/,/ækt/,B1,You have committed a serious criminal act.,,,,
58,action, การกระทำ,the process of doing something in order to make something happen or to deal with a situation,noun,/ˈækʃn/,/ˈækʃn/,A1,The time has come for action if these beautiful animals are to survive.,,,,
59,activate,เปิดใช้งาน,to make something such as a device or chemical process start working,verb,/ˈæktɪveɪt/,/ˈæktɪveɪt/,B2,The burglar alarm is activated by movement.,,,,
60,activation,การเปิดใช้งาน,the act of making something such as a device or chemical process start working,noun,/ˌæktɪˈveɪʃn/,/ˌæktɪˈveɪʃn/,C1,The activation of several target genes results in two major effects.,,,,
61,active,"กระตือรือร้น, คล่องแคล่ว","always busy doing things, especially physical activities",adjective,/ˈæktɪv/,/ˈæktɪv/,A2,Staying physically active in later years can also keep you feeling younger. ,,,,61_a2_active.jpg
62,activist,นักเคลื่อนไหว,"a person who works to achieve political or social change, especially as a member of an organization with particular aims",noun,/ˈæktɪvɪst/,/ˈæktɪvɪst/,C1,human/civil/animal rights activists,,,,
63,activity,"กิจกรรม, การกระทำ",a thing that you do for interest or pleasure,noun,/ækˈtɪvəti/,/ækˈtɪvəti/,A1,leisure/outdoor/recreational activities,,,,
64,actor,นักแสดงชาย,"a person who performs on the stage, on television or in films, especially as a profession",noun,/ˈæktər/,/ˈæktə(r)/,A1,Both lead actors (= the ones who play the main parts) are outstanding.,,,,
65,actress,นักแสดงหญิง,"a woman who performs on the stage, on television or in films, especially as a profession",noun,/ˈæktrəs/,/ˈæktrəs/,A1,The Oscar-winning actress has taken a break from acting.,,,,
66,actual,"แท้จริง, ที่เกิดขึ้นจริง",used to emphasize something that is real or exists in fact,adjective,/ˈæktʃuəl/,/ˈæktʃuəl/,B2,James looks younger than his wife but in actual fact (= really) he is five years older.,,,,66_b2_actual.jpg
67,actually,"จริงๆแล้ว, ที่จริง","used in speaking to emphasize a fact or a comment, or that something is really true",adverb,/ˈæktʃuəli/,/ˈæktʃuəli/,A2,What did she actually say?,,,,67_a2_actually.jpg
68,acute,เฉียบพลัน,very serious or severe,adjective,/əˈkjuːt/,/əˈkjuːt/,C1,There is an acute shortage of water.,,,,68_c1_acute.jpg
69,ad,โฆษณา (คำย่อ),"a notice, picture or film telling people about a product, job or service",noun,/æd/,/æd/,B1,The TV ads were first run last year.,,,,
70,adapt,"ปรับตัว, ดัดแปลง",to change your behaviour in order to deal more successfully with a new situation,verb,/əˈdæpt/,/əˈdæpt/,B2,It's amazing how soon you adapt.,,,,70_b2_adapt.jpg
71,adaptation,"การดัดแปลง, การปรับตัวเข้ากับสภาพแวดล้อม","the action or process of changing something, or of being changed, to suit a new purpose or situation",noun,/ˌædæpˈteɪʃn/,/ˌædæpˈteɪʃn/,C1,the adaptation of buildings for military purposes,,,,
72,add,"เพิ่ม, บวก","to put something together with something else so as to increase the size, number, amount, etc.",verb,/æd/,/æd/,A1,"add something, Next add the flour.",,,,
73,addiction,ติดยาเสพติด,"the condition of being unable to stop using or doing something as a habit, especially something harmful",noun,/əˈdɪkʃn/,/əˈdɪkʃn/,B2,cocaine addiction,,,,
74,addition,"การบวก, ส่วนเพิ่ม",a thing that is added to something else,noun,/əˈdɪʃn/,/əˈdɪʃn/,B1,All of these technologies are fairly recent additions.,,,,
75,additional,"เพิ่มเติม, เพิ่มเติม",more than was first mentioned or is usual,adjective,/əˈdɪʃənl/,/əˈdɪʃənl/,B2,additional resources/funds/security/funding/costs,,,,
76,additionally,เพิ่มเติม,in a way that is more than was first mentioned or is usual,adverb,/əˈdɪʃənəli/,/əˈdɪʃənəli/,B2,"Additionally, the bus service will run on Sundays, every two hours.",,,,
77,address,"ที่อยู่, กล่าว","details of where somebody lives or works and where letters, etc. can be sent",noun,/əˈdres/,/əˈdres/,A1,What's your name and address?,,,,
78,adequate,"เพียงพอ, เหมาะสม","enough in quantity, or good enough in quality, for a particular purpose or need",adjective,/ˈædɪkwət/,/ˈædɪkwət/,B2,They'll need an adequate supply of hot water.,,,,78_b2_adequate.jpg
79,adequately,อย่างพอเหมาะ,"in a way that is enough in quantity, or good enough in quality, for a particular purpose or need",adverb,/ˈædɪkwətli/,/ˈædɪkwətli/,B2,Are you adequately insured?,,,,
80,adhere,"ยึดมั่น, ปฏิบัติตามหลักการ",to stick to something,verb,/ədˈhɪr/,/ədˈhɪə(r)/,C1,"Once in the bloodstream, the bacteria adhere to the surface of the red cells.",,,,80_c1_adhere.jpg
81,adjacent,ที่อยู่ติดกัน,next to something,adjective,/əˈdʒeɪsnt/,/əˈdʒeɪsnt/,C1,The planes landed on adjacent runways.,,,,81_c1_adjacent.jpg
82,adjust,"ปรับ, ปรับตัว",to change something slightly to make it more suitable for a new set of conditions or to make it work better,verb,/əˈdʒʌst/,/əˈdʒʌst/,B2,"adjust something, Watch out for sharp bends and adjust your speed accordingly.",,,,82_b2_adjust.jpg
83,adjustment,"การปรับเปลี่ยนเล็กน้อย, การแก้ไข",a small change made to something in order to correct or improve it,noun,/əˈdʒʌstmənt/,/əˈdʒʌstmənt/,C1,I've made a few adjustments to the design.,,,,
84,administer,บริหารจัดการ,"to manage and organize the affairs of a company, an organization, a country, etc.",verb,/ədˈmɪnɪstər/,/ədˈmɪnɪstə(r)/,C1,to administer a charity/fund/school,,,,84_c1_administer.jpg
85,administration,"การปกครอง, คณะผู้บริหาร","the activities that are done in order to plan, organize and run a business, school or other institution",noun,/ədˌmɪnɪˈstreɪʃn/,/ədˌmɪnɪˈstreɪʃn/,B2,Administration costs are passed on to the customer.,,,,85_b2_administration.jpg
86,administrative,ที่เกี่ยวกับการบริหาร,connected with organizing the work of a business or an institution,adjective,/ədˈmɪnɪstreɪtɪv/,/ədˈmɪnɪstrətɪv/,C1,an administrative job/assistant/error,,,,86_c1_administrative.jpg
87,administrator,ผู้ดูแลระบบ,"a person whose job is to manage and organize the public or business affairs of a company or an institution, or a person who works in an office dealing with records, accounts, etc.",noun,/ədˈmɪnɪstreɪtər/,/ədˈmɪnɪstreɪtə(r)/,C1,Such organizational decisions are made by the hospital administrators.,,,,87_c1_administrator.jpg
88,admire,"ชื่นชม, ยกย่อง",to respect somebody for what they have done or to respect their qualities,verb,/ədˈmaɪər/,/ədˈmaɪə(r)/,B1,"admire somebody/something, I really admire your enthusiasm.",,,,
89,admission,การรับเข้า,"the act of accepting somebody into an institution, organization, etc.; the right to enter a place or to join an institution or organization",noun,/ədˈmɪʃn/,/ədˈmɪʃn/,C1,Hospital admission is not necessary in most cases.,,,,89_c1_admission.jpg
90,admit,"ยอมรับ (ความจริง, ความผิด), รับเข้า","to agree, often unwillingly, that something is true",verb,/ədˈmɪt/,/ədˈmɪt/,B1,"It was a stupid thing to do, I admit.",,,,
91,adolescent,วัยรุ่น (ช่วงเปลี่ยนผ่าน),a young person who is developing from a child into an adult,noun,/ˌædəˈlesnt/,/ˌædəˈlesnt/,C1,adolescents between the ages of 13 and 18 and the problems they face,,,,91_c1_adolescent.jpg
92,adopt,"รับเลี้ยง, นำมาใช้",to take somebody else’s child into your family and become its legal parent(s),verb,/əˈdɑːpt/,/əˈdɒpt/,B2,a campaign to encourage childless couples to adopt,,,,
93,adoption,การรับเลี้ยงบุตรบุญธรรม,the act of adopting a child; the fact of being adopted,noun,/əˈdɑːpʃn/,/əˈdɒpʃn/,C1,She put the baby up for adoption.,,,,
94,adult,"ผู้ใหญ่, โตเต็มที่",fully grown or developed,adjective,/əˈdʌlt/,/ˈædʌlt/,A2,preparing young people for adult life,,,,94_a2_adult.jpg
95,advance,"ก้าวหน้า, ล่วงหน้า",done or given before something is going to happen,adjective,/ədˈvæns/,/ədˈvɑːns/,B2,Please give us advance warning of any changes.,,,,95_b2_advance.jpg
96,advanced,"ขั้นสูง, ล้ำหน้า","having the most modern and recently developed ideas, methods, etc.",adjective,/ədˈvænst/,/ədˈvɑːnst/,B1,Scientists are working on highly advanced technology to replace fossil fuels.,,,,
97,advantage,ข้อได้เปรียบ,a thing that helps you to be better or more successful than other people,noun,/ədˈvæntɪdʒ/,/ədˈvɑːntɪdʒ/,A2,a distinct/significant/huge advantage,,,,
98,adventure,การผจญภัย,"an unusual, exciting or dangerous experience, journey or series of events",noun,/ədˈventʃər/,/ədˈventʃə(r)/,A2,her adventures travelling in Africa,,,,98_a2_adventure.jpg
99,adverse,ไม่พึงประสงค์,negative and unpleasant; not likely to produce a good result,adjective,/ədˈvɜːrs/,/ˈædvɜːs/,C1,adverse change/circumstances/weather conditions,,,,99_c1_adverse.jpg
100,advertise,"โฆษณา, ประกาศ",to tell the public about a product or a service in order to encourage people to buy or to use it,verb,/ˈædvərtaɪz/,/ˈædvətaɪz/,A2,If you want to attract customers you need to advertise.,,,,100_a2_advertise.jpg
101,advertisement,"การโฆษณา, คำโฆษณา","a notice, picture or film telling people about a product, job or service",noun,/ˌædvərˈtaɪzmənt/,/ədˈvɜːtɪsmənt/,A2,a newspaper/television advertisement,,,,
102,advertising,"การโฆษณา, ธุรกิจโฆษณา (แบบชำระเงิน)","the activity and industry of advertising things to people on television, in newspapers, on the internet, etc.",noun,/ˈædvərtaɪzɪŋ/,/ˈædvətaɪzɪŋ/,A2,Cigarette advertising has been banned.,,,,
103,advice,"คำแนะนำ, ข้อเสนอแนะ",an opinion or a suggestion about what somebody should do in a particular situation,noun,/ədˈvaɪs/,/ədˈvaɪs/,A1,expert/practical/professional/medical advice,,,,103_a1_advice.jpg
104,advise,"แนะนำ, ให้คำปรึกษา",to tell somebody what you think they should do in a particular situation,verb,/ədˈvaɪz/,/ədˈvaɪz/,B1,"advise against doing something, I would strongly advise against going out on your own.",,,,104_b1_advise.jpg
105,advocate,ผู้ให้การสนับสนุน,a person who supports or speaks in favour of somebody or of a public plan or action,noun,/ˈædvəkət/,/ˈædvəkət/,C1,"advocate for something/somebody, an advocate for hospital workers",,,,105_c1_advocate.jpg
106,aesthetic,เกี่ยวกับความงาม,connected with beauty and art and the understanding of beautiful things,adjective,/esˈθetɪk/,/iːsˈθetɪk/,C1,the aesthetic appeal of the songs,,,,106_c1_aesthetic.jpg
107,affair,"เรื่อง, ชู้",events that are of public interest or political importance,noun,/əˈfer/,/əˈfeə(r)/,B2,world/international affairs,,,,107_b2_affair.jpg
108,affect,มีผลกระทบ,to produce a change in somebody/something,verb,/əˈfekt/,/əˈfekt/,A2,How will these changes affect us?,,,,108_a2_affect.jpg
109,affection,"ความรัก, ความชอบ",the feeling of liking or loving somebody/something very much and caring about them,noun,/əˈfekʃn/,/əˈfekʃn/,C1,Children need lots of love and affection.,,,,109_c1_affection.jpg
110,afford,สามารถซื้อได้,to have enough money to be able to buy or do something,verb,/əˈfɔːrd/,/əˈfɔːd/,B1,"afford something, Can we afford a new car?",,,,110_b1_afford.jpg
111,affordable,ซื้อได้,cheap enough that people can afford to pay it or buy it,adjective,/əˈfɔːrdəbl/,/əˈfɔːdəbl/,B2,We offer quality products at affordable prices.,,,,
112,afraid,"หวาดกลัว, เกรงกลัว",feeling fear; frightened because you think that you might be hurt or suffer,adjective,/əˈfreɪd/,/əˈfreɪd/,A1,Don't be afraid.,,,,
113,after,"หลัง, หลังจาก",later in time; afterwards,adverb,/ˈæftər/,/ˈɑːftə(r)/,A2,"That was in 1996. Soon after, I heard that he'd died.",,,,
114,aftermath,ควันหลง,"the situation that exists as a result of an important (and usually unpleasant) event, especially a war, an accident, etc.",noun,/ˈæftərmæθ/,/ˈɑːftəmæθ/,C1,"in the aftermath of something, A lot of rebuilding took place in the aftermath of the war.",,,,
115,afternoon,"บ่าย, ตอนบ่าย",the period of time from 12 o'clock in the middle of the day until about 6 o’clock in the evening,noun,/ˌæftərˈnuːn/,/ˌɑːftəˈnuːn/,A1,this/yesterday/tomorrow afternoon,,,,
116,afterwards,"ภายหลัง, หลังจากนั้น",at a later time; after an event that has already been mentioned,adverb,/ˈæftərwərdz/,/ˈɑːftəwədz/,B2,Afterwards she was sorry for what she'd said.,,,,
117,again,"อีกครั้ง, ซ้ำ",one more time; on another occasion,adverb,/əˈɡen/,/əˈɡen/,A1,This must never happen again.,,,,
118,against,"ต่อต้าน, ขัด",opposing or disagreeing with somebody/something,preposition,/əˈɡenst/,/əˈɡenst/,A2,the fight against terrorism,,,,118_a2_against.jpg
119,age,"อายุ, วัย",the number of years that a person has lived or a thing has existed,noun,/eɪdʒ/,/eɪdʒ/,A1,You're the same age as my brother.,,,,119_a1_age.jpg
120,aged,"แก่, เก่า",of the age of,adjective,/eɪdʒd/,/eɪdʒd/,B1,They have two children aged six and nine.,,,,
121,agency,"หน่วยงาน, ตัวแทน",a business or an organization that provides a particular service especially when representing other businesses or organizations,noun,/ˈeɪdʒənsi/,/ˈeɪdʒənsi/,B2,She works for an advertising agency.,,,,121_b2_agency.jpg
122,agenda,กำหนดการ,a list of items to be discussed at a meeting,noun,/əˈdʒendə/,/əˈdʒendə/,B2,We have a very full agenda of issues to discuss.,,,,122_b2_agenda.jpg
123,agent,"ตัวแทน, นายหน้า","a person whose job is to act for, or manage the affairs of, other people in business, politics, etc.",noun,/ˈeɪdʒənt/,/ˈeɪdʒənt/,B1,Our agent in New York deals with all US sales.,,,,
124,aggression,ความก้าวร้าว,feelings of anger and hate that may result in threatening or violent behaviour,noun,/əˈɡreʃn/,/əˈɡreʃn/,C1,The research shows that computer games may cause aggression.,,,,124_c1_aggression.jpg
125,aggressive,"ก้าวร้าว, รุกราน","angry, and behaving in a threatening way; ready to attack",adjective,/əˈɡresɪv/,/əˈɡresɪv/,B2,Seals have been known to exhibit aggressive behaviour towards swimmers.,,,,125_b2_aggressive.jpg
126,ago,"ที่แล้ว, มาแล้ว",used in expressions of time with the simple past tense to show how far in the past something happened,adverb,/əˈɡəʊ/,/əˈɡəʊ/,A1,two weeks/months/years ago,,,,
127,agree,"เห็นด้วย, ตกลง",to have the same opinion as somebody; to say that you have the same opinion,verb,/əˈɡriː/,/əˈɡriː/,A1,"When he said that, I had to agree.",,,,127_a1_agree.jpg
128,agreement,"ข้อตกลง, ความเห็นพ้อง","an arrangement, a promise or a contract made with somebody",noun,/əˈɡriːmənt/,/əˈɡriːmənt/,B1,an international peace agreement,,,,128_b1_agreement.jpg
129,agricultural,ทางเกษตรกรรม,connected with the science or practice of farming,adjective,/ˌæɡrɪˈkʌltʃərəl/,/ˌæɡrɪˈkʌltʃərəl/,C1,agricultural policy/land/production/development,,,,
130,agriculture,การเกษตร,the science or practice of farming,noun,/ˈæɡrɪkʌltʃər/,/ˈæɡrɪkʌltʃə(r)/,B2,The number of people employed in agriculture has fallen in the last decade.,,,,130_b2_agriculture.jpg
131,ah,อา,"used to express surprise, pleasure or sympathy, or when you disagree with somebody",exclamation,/ɑː/,/ɑː/,A2,"Ah, there you are!",,,,
132,ahead,"ข้างหน้า, ล่วงหน้า",further forward in space or time; in front,adverb,/əˈhed/,/əˈhed/,B1,I'll run ahead and warn them.,,,,132_b1_ahead.jpg
133,aid,การสงเคราะห์,"money, food, etc. that is sent to help countries in difficult situations",noun,/eɪd/,/eɪd/,B2,humanitarian/food/medical aid,,,,
134,aide,ผู้ช่วย,"a person who helps another person, especially a politician, in their job",noun,/eɪd/,/eɪd/,C1,White House aides,,,,
135,AIDS,เอดส์,a serious illness caused by a virus called HIV that attacks the body’s ability to resist infection (the abbreviation for ‘Acquired Immune Deficiency Syndrome’),noun,/eɪdz/,/eɪdz/,B2,the AIDS epidemic,,,,
136,aim,"จุดมุ่งหมาย, วัตถุประสงค์",the purpose of doing something; what somebody is trying to achieve,noun,/eɪm/,/eɪm/,B1,the stated aims of the study ,,,,136_b1_aim.jpg
137,air,"อากาศ, ลม",the mixture of gases that surrounds the earth and that we breathe,noun,/er/,/eə(r)/,A1,Let's go out for some fresh air.,,,,
138,aircraft,"อากาศยาน, เครื่องบิน",any vehicle that can fly and carry goods or passengers,noun,/ˈerkræft/,/ˈeəkrɑːft/,B2,fighter/transport/military aircraft,,,,138_b2_aircraft.jpg
139,airline,สายการบิน,a company that provides regular flights to take passengers and goods to different places,noun,/ˈerlaɪn/,/ˈeəlaɪn/,A2,an airline pilot/passenger,,,,139_a2_airline.jpg
140,airport,สนามบิน,a place where planes land and take off and that has buildings for passengers to wait in,noun,/ˈerpɔːrt/,/ˈeəpɔːt/,A1,Gatwick Airport,,,,
